date,selected,etf,market_adx,top_momentum,health_score,health_status
2026-03-02,空仓,511880,23.28901452367332,0.0402194084189764,25,警告
2026-03-02,空仓,511880,23.28901452367332,0.0402194084189764,25,警告
2026-03-02,空仓,511880,23.28901452367332,0.0447475898279656,25,警告
2026-03-02,黄金,518880,23.28901452367332,0.0447475898279656,25,警告
2026-03-02,空仓,511880,23.28901452367332,0.0447475898279656,25,警告
2026-03-02,空仓,511880,23.28901452367332,0.0447475898279656,25,警告
2026-03-02,空仓,511880,23.28901452367332,0.0447475898279656,25,警告
2026-03-03,空仓,511880,23.21101009972548,0.0284997894394791,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,0.0361443608193305,25,警告
2026-03-04,空仓,511880,23.7648404250066,-0.0156940663745842,25,警告
2026-03-05,空仓,511880,23.7648404250066,0.1986348122866894,25,警告
2026-03-04,空仓,511880,23.7648404250066,-0.0156940663745842,25,警告
2026-03-06,空仓,511880,21.6575855358272,-0.0211828859060402,25,警告
2026-03-06,空仓,511880,19.0916667260822,-0.0196536097739489,25,警告
2026-03-06,空仓,511880,19.0916667260822,-0.0196536097739489,25,警告
2026-03-06,空仓,511880,19.0916667260822,-0.0196536097739489,25,警告
2026-03-10,空仓,511880,21.807432149081,0.22704309063893,25,警告
2026-03-10,空仓,511880,23.0190908110886,0.0,15,警告
2026-03-11,空仓,511880,23.0190908110886,0.0,15,警告
2026-03-12,空仓,511880,21.57766509734305,0.0,15,警告
2026-03-13,空仓,511880,20.50699746105799,0.0,15,警告
2026-03-14,空仓,511880,18.30008151939984,0.0,15,警告
2026-03-15,空仓,511880,18.30008151939984,0.0,15,警告
2026-03-16,空仓,511880,17.287249403527035,0.0,15,警告
